seq_id,ct10_id,hh10,quarter,veh_tot,pass_veh,ovrlp_pct,best_geo,veh_phh,mipday_phh,veh_lo,veh_medlo,veh_medhi,veh_hi,veh_vhi,comm_veh,mipdaypass,mipdaybest,mipdaycomm,mipdaytot,pass_vmt,comm_vmt,tot_vmt,passvehage,mpg_eff,glpdaypass,co2eqv_day,co2eqv_hh,pass_hybrd,comm_hybrd,tot_hybrd,pass_elect,comm_elect,tot_elect
34013,25001011600,1390,2014_q4,2378.5197,2273.7862,0.3506,644,1.64,48.4128,1220,196,180,182,78,104.7335,29.52,29.6299,23.8727,29.4288,67122.1686,2500.2714,69996.9805,10.2,20.3664,3295.7303,29.8456,0.0215,25,0,25,0,0,0
34014,25001011700,971,2014_q4,1826.4379,1769.0034,0.3423,504,1.82,45.8371,969,137,118,105,43,57.4345,25.1852,25.0666,87.2525,25.7594,44552.7044,5011.3037,47047.9444,8.98,20.6156,2161.1192,19.5707,0.0202,26,2,28,0,0,0
34015,25001011801,1297,2014_q4,1523.3658,1507.9328,0.3671,450,1.16,30.735,816,136,121,112,37,15.433,26.4957,26.2454,28.8895,26.5099,39953.7351,445.8517,40384.275,8.33,21.3513,1871.2553,16.9458,0.0131,55,0,55,0,0,0
34016,25001011802,1895,2014_q4,3950.6589,3844.1712,0.361,1146,2.03,56.0089,2077,329,310,306,119,106.4877,27.5906,27.5816,24.5121,27.5364,106062.9899,2610.2372,108786.9237,9.4,20.0953,5278.0128,47.7968,0.0252,73,0,73,0,0,0
34017,25001012001,2715,2014_q4,5160.2499,4624.7248,0.3679,1397,1.7,44.2112,2582,392,382,331,120,535.5251,26.0066,25.9301,38.5836,27.079,120273.368,20662.4862,139734.407,9.63,20.1658,5964.2383,54.0112,0.0199,68,1,69,0,0,0
34018,25001012002,1494,2014_q4,2582.9636,2453.3264,0.332,665,1.64,42.4232,1425,198,177,146,75,129.6372,25.8678,25.9775,28.8138,25.9757,63462.1566,3735.3404,67094.2876,10.21,20.3737,3114.8988,28.208,0.0189,30,1,31,0,0,0
34019,25001012101,2330,2014_q4,4875.3165,4595.9792,0.3604,1351,1.97,52.3632,2552,403,366,348,133,279.3373,26.5803,26.5846,33.6078,26.9197,122162.5059,9387.9121,131242.0576,10.12,19.7434,6187.4982,56.033,0.024,54,3,57,0,0,0
34020,25001012102,1498,2014_q4,2739.4044,2646.8064,0.3543,752,1.77,47.6555,1483,213,199,191,88,92.598,26.924,26.8006,33.2369,27.0836,71262.6155,3077.6705,74192.933,10.11,20.4151,3490.6845,31.6111,0.0211,34,0,34,0,0,0
34021,25001012200,2139,2014_q4,4082.7388,3991.0684,0.3392,1067,1.87,52.6916,2015,291,296,307,119,91.6704,28.1773,28.1687,31.2559,28.2456,112457.5316,2865.2409,115319.407,8.79,19.8796,5656.9346,51.2283,0.0239,95,1,96,0,0,0
34022,25001012502,1440,2014_q4,2515.7532,2413.8972,0.3306,622,1.68,43.3863,1303,195,187,138,54,101.856,25.8252,25.6476,29.9196,25.9512,62339.378,3047.4908,65286.8144,10.28,20.0573,3108.0655,28.1461,0.0195,34,0,34,0,0,0
34023,25001012601,1141,2014_q4,2100.4944,2017.312,0.3576,562,1.77,45.2037,1089,160,164,122,49,83.1824,25.5388,25.4776,37.9998,25.8242,51519.7277,3160.9146,54243.5875,10.08,20.175,2553.639,23.1253,0.0203,26,1,27,0,0,0
34024,25001012602,1999,2014_q4,4225.1636,3977.314,0.3406,1032,1.99,49.9056,2205,367,245,241,90,247.8496,25.0782,24.8684,40.1161,25.7122,99743.876,9942.7593,108638.2515,10.98,19.6348,5079.9481,46.0032,0.023,32,1,33,0,0,0
34025,25001012700,2023,2014_q4,3773.4256,3649.5008,0.3325,950,1.8,48.7917,1935,291,279,231,108,123.9248,27.1065,27.2444,34.9473,27.301,98925.1934,4330.8372,103018.2923,9.67,20.1387,4912.1892,44.484,0.022,63,1,64,0,0,0
34026,25001012800,1695,2014_q4,3330.875,3242.5998,0.3431,873,1.91,50.4332,1698,290,220,218,83,88.2752,26.4048,26.5192,29.784,26.4645,85620.1992,2629.1886,88149.9414,9.35,20.3205,4213.4919,38.1567,0.0225,39,0,39,1,0,1
34027,25001012900,1693,2014_q4,3402.7946,3336.5882,0.3491,919,1.97,55.6293,1755,289,278,252,91,66.2064,28.2382,28.3019,53.8571,28.5278,94219.2449,3565.6847,97074.2438,9.51,20.2957,4642.331,42.0402,0.0248,44,1,45,0,0,0
34028,25001013002,1372,2014_q4,3110.2276,2931.9796,0.3102,715,2.14,54.9608,1545,187,177,180,81,178.248,25.6826,25.6402,43.3443,26.4848,75300.8593,7726.0348,82373.7559,8.64,20.0448,3756.6222,34.0194,0.0248,48,0,48,3,0,3
