muni_id,municipal,owner_type,owner_ty_te,fuel,hybrid,veh_tot,dvmtmpg_vh,dvmt_mean,mpg_mean,glpday_val,year_q
7,AMESBURY,1,Noncommercial,Gasoline,0,11175,4223,35.7851,20.6705,7310.93,2014_q2
7,AMESBURY,1,Noncommercial,Gasoline,1,201,80,46.5142,39.6879,93.76,2014_q2
7,AMESBURY,1,Noncommercial,Other,0,3,1,47.5151,10.5355,4.51,2014_q2
7,AMESBURY,2,Commercial,Diesel,0,29,7,16.4486,15.8159,7.28,2014_q2
7,AMESBURY,2,Commercial,Flexfuel,0,72,17,42.3936,16.4541,43.8,2014_q2
7,AMESBURY,2,Commercial,Gasoline,0,290,103,37.7703,17.3089,224.76,2014_q2
7,AMESBURY,2,Commercial,Gasoline,1,3,1,45.3173,49.7992,0.91,2014_q2
7,AMESBURY,2,Commercial,Other,0,4,0,,,,2014_q2
8,AMHERST,1,Noncommercial,Diesel,0,160,41,33.269,27.9057,48.88,2014_q2
8,AMHERST,1,Noncommercial,Elect,0,5,0,21.4163,,,2014_q2
8,AMHERST,1,Noncommercial,Flexfuel,0,223,80,31.2491,18.0618,138.41,2014_q2
8,AMHERST,1,Noncommercial,Gasoline,0,10698,4036,28.6508,22.1575,5218.76,2014_q2
8,AMHERST,1,Noncommercial,Gasoline,1,732,298,35.5822,42.3767,250.22,2014_q2
8,AMHERST,1,Noncommercial,Other,0,1,0,,,,2014_q2
8,AMHERST,2,Commercial,Diesel,0,29,5,36.4244,17.4949,10.41,2014_q2
8,AMHERST,2,Commercial,Elect,0,1,0,27.2592,,,2014_q2
8,AMHERST,2,Commercial,Flexfuel,0,40,19,30.8073,15.1603,38.61,2014_q2
8,AMHERST,2,Commercial,Gasoline,0,284,109,24.8394,17.3457,156.09,2014_q2
8,AMHERST,2,Commercial,Gasoline,1,11,3,44.0939,41.8613,3.16,2014_q2
8,AMHERST,2,Commercial,Other,0,2,0,,,,2014_q2
9,ANDOVER,1,Noncommercial,Diesel,0,234,79,38.7271,24.1129,126.88,2014_q2
9,ANDOVER,1,Noncommercial,Elect,0,13,0,29.4103,,,2014_q2
9,ANDOVER,1,Noncommercial,Flexfuel,0,673,245,35.5721,17.1117,509.31,2014_q2
9,ANDOVER,1,Noncommercial,Gasoline,0,21636,8406,31.7612,20.4932,13027.9,2014_q2
9,ANDOVER,1,Noncommercial,Gasoline,1,669,250,37.0868,38.5678,240.4,2014_q2
9,ANDOVER,2,Commercial,Diesel,0,47,7,23.1241,14.6091,11.08,2014_q2
9,ANDOVER,2,Commercial,Flexfuel,0,96,25,42.4014,16.1051,65.82,2014_q2
9,ANDOVER,2,Commercial,Gasoline,0,709,248,34.2186,18.3165,463.31,2014_q2
9,ANDOVER,2,Commercial,Gasoline,1,13,3,125.938,43.5771,8.67,2014_q2
9,ANDOVER,2,Commercial,Other,0,3,0,,,,2014_q2
10,ARLINGTON,1,Noncommercial,Diesel,0,254,83,28.4513,28.7562,82.12,2014_q2
10,ARLINGTON,1,Noncommercial,Elect,0,17,0,25.2647,,,2014_q2
10,ARLINGTON,1,Noncommercial,Flexfuel,0,561,203,27.9424,18.5837,305.23,2014_q2
10,ARLINGTON,1,Noncommercial,Gasoline,0,24602,9856,23.939,21.718,10863.9,2014_q2
10,ARLINGTON,1,Noncommercial,Gasoline,1,1199,500,28.6171,39.4876,362.355,2014_q2
10,ARLINGTON,1,Noncommercial,Other,0,2,0,,,,2014_q2
10,ARLINGTON,2,Commercial,Diesel,0,56,6,20.0801,14.1243,8.53,2014_q2
10,ARLINGTON,2,Commercial,Flexfuel,0,143,50,32.3377,16.164,100.03,2014_q2
10,ARLINGTON,2,Commercial,Gasoline,0,598,230,24.9587,17.1363,334.99,2014_q2
10,ARLINGTON,2,Commercial,Gasoline,1,11,3,28.6279,45.2019,1.9,2014_q2
10,ARLINGTON,2,Commercial,Other,0,1,0,,,,2014_q2
11,ASHBURNHAM,1,Noncommercial,Diesel,0,93,26,33.2909,19.1751,45.14,2014_q2
11,ASHBURNHAM,1,Noncommercial,Elect,0,1,0,,,,2014_q2
11,ASHBURNHAM,1,Noncommercial,Flexfuel,0,235,90,39.3664,17.1332,206.79,2014_q2
11,ASHBURNHAM,1,Noncommercial,Gasoline,0,4505,1714,37.2339,20.0826,3177.82,2014_q2
11,ASHBURNHAM,1,Noncommercial,Gasoline,1,66,24,58.3242,38.5934,36.27,2014_q2
11,ASHBURNHAM,2,Commercial,Diesel,0,10,3,41.0193,12.7521,9.65,2014_q2
11,ASHBURNHAM,2,Commercial,Flexfuel,0,10,3,20.1293,16.6358,3.63,2014_q2
11,ASHBURNHAM,2,Commercial,Gasoline,0,68,25,31.8802,17.3488,45.94,2014_q2
11,ASHBURNHAM,2,Commercial,Gasoline,1,1,1,42.2473,17.751,2.38,2014_q2
12,ASHBY,1,Noncommercial,Diesel,0,69,27,34.3854,16.1462,57.5,2014_q2
12,ASHBY,1,Noncommercial,Flexfuel,0,163,51,42.809,16.8215,129.79,2014_q2
12,ASHBY,1,Noncommercial,Gasoline,0,2419,863,35.707,19.3785,1590.17,2014_q2
12,ASHBY,1,Noncommercial,Gasoline,1,51,19,46.0954,40.6221,21.56,2014_q2
12,ASHBY,1,Noncommercial,Other,0,1,0,,,,2014_q2
12,ASHBY,2,Commercial,Diesel,0,11,4,23.6568,14.7855,6.4,2014_q2
12,ASHBY,2,Commercial,Flexfuel,0,4,0,,,,2014_q2
12,ASHBY,2,Commercial,Gasoline,0,38,16,32.5914,15.8115,32.98,2014_q2
13,ASHFIELD,1,Noncommercial,Diesel,0,59,17,29.2479,16.2861,30.53,2014_q2
13,ASHFIELD,1,Noncommercial,Elect,0,1,0,17.7681,,,2014_q2
13,ASHFIELD,1,Noncommercial,Flexfuel,0,44,18,40.9685,16.5566,44.54,2014_q2
13,ASHFIELD,1,Noncommercial,Gasoline,0,1326,501,34.1782,20.5054,835.06,2014_q2
13,ASHFIELD,1,Noncommercial,Gasoline,1,55,20,47.9002,42.4459,22.57,2014_q2
13,ASHFIELD,2,Commercial,Diesel,0,5,3,26.1956,22.5824,3.48,2014_q2
13,ASHFIELD,2,Commercial,Flexfuel,0,3,0,,,,2014_q2
13,ASHFIELD,2,Commercial,Gasoline,0,21,14,35.9369,15.9214,31.6,2014_q2
14,ASHLAND,1,Noncommercial,Diesel,0,111,48,31.8855,19.4103,78.85,2014_q2
14,ASHLAND,1,Noncommercial,Elect,0,2,0,,,,2014_q2
14,ASHLAND,1,Noncommercial,Flexfuel,0,435,183,30.0434,17.5278,313.67,2014_q2
14,ASHLAND,1,Noncommercial,Gasoline,0,11391,4579,29.8207,20.7103,6593.3,2014_q2
14,ASHLAND,1,Noncommercial,Gasoline,1,304,108,37.8121,40.8862,99.88,2014_q2
14,ASHLAND,1,Noncommercial,Other,0,1,0,,,,2014_q2
14,ASHLAND,2,Commercial,Diesel,0,39,4,30.7388,12.2101,10.07,2014_q2
14,ASHLAND,2,Commercial,Flexfuel,0,67,15,33.9856,15.2859,33.35,2014_q2
14,ASHLAND,2,Commercial,Gasoline,0,482,181,33.4722,17.9218,338.05,2014_q2
14,ASHLAND,2,Commercial,Gasoline,1,7,3,38.3343,32.9521,3.49,2014_q2
14,ASHLAND,2,Commercial,Other,0,4,0,,,,2014_q2
15,ATHOL,1,Noncommercial,Diesel,0,104,35,26.97,15.9397,59.22,2014_q2
15,ATHOL,1,Noncommercial,Flexfuel,0,418,164,36.7784,18.7639,321.45,2014_q2
15,ATHOL,1,Noncommercial,Gasoline,0,7479,2719,34.8637,20.5203,4619.55,2014_q2
15,ATHOL,1,Noncommercial,Gasoline,1,67,29,55.9064,45.1486,35.91,2014_q2
15,ATHOL,1,Noncommercial,Other,0,4,0,,,,2014_q2
15,ATHOL,2,Commercial,Diesel,0,22,3,29.0291,12.6031,6.91,2014_q2
15,ATHOL,2,Commercial,Flexfuel,0,20,9,45.4559,16.1765,25.29,2014_q2
15,ATHOL,2,Commercial,Gasoline,0,107,46,29.4756,16.9062,80.2,2014_q2
15,ATHOL,2,Commercial,Gasoline,1,1,1,44.1011,25.6402,1.72,2014_q2
16,ATTLEBORO,1,Noncommercial,Diesel,0,279,95,31.3294,18.3303,162.37,2014_q2
16,ATTLEBORO,1,Noncommercial,Elect,0,1,0,,,,2014_q2
16,ATTLEBORO,1,Noncommercial,Flexfuel,0,1303,463,36.4824,17.3721,972.33,2014_q2
16,ATTLEBORO,1,Noncommercial,Gasoline,0,29861,11067,31.9506,20.7047,17078.2,2014_q2
16,ATTLEBORO,1,Noncommercial,Gasoline,1,389,135,42.5196,38.5296,148.98,2014_q2
16,ATTLEBORO,1,Noncommercial,Other,0,4,0,,,,2014_q2
16,ATTLEBORO,2,Commercial,Diesel,0,89,14,33.4436,13.6664,34.26,2014_q2
16,ATTLEBORO,2,Commercial,Flexfuel,0,127,21,43.4067,16.2225,56.19,2014_q2
16,ATTLEBORO,2,Commercial,Gasoline,0,684,231,40.7027,17.4124,539.98,2014_q2
16,ATTLEBORO,2,Commercial,Gasoline,1,3,1,90.5917,49.2346,1.84,2014_q2
16,ATTLEBORO,2,Commercial,Other,0,8,0,,,,2014_q2
17,AUBURN,1,Noncommercial,Diesel,0,110,33,31.6415,16.0988,64.86,2014_q2
17,AUBURN,1,Noncommercial,Flexfuel,0,626,259,33.7124,18.6687,467.71,2014_q2
17,AUBURN,1,Noncommercial,Gasoline,0,11557,4599,30.7153,20.6441,6842.63,2014_q2
17,AUBURN,1,Noncommercial,Gasoline,1,135,44,41.7904,38.8255,47.36,2014_q2
17,AUBURN,1,Noncommercial,Other,0,1,0,,,,2014_q2
17,AUBURN,2,Commercial,Diesel,0,122,14,29.0795,13.5795,29.98,2014_q2
17,AUBURN,2,Commercial,Flexfuel,0,156,33,55.3277,16.8464,108.38,2014_q2
17,AUBURN,2,Commercial,Gasoline,0,559,247,45.874,19.1911,590.423,2014_q2
17,AUBURN,2,Commercial,Gasoline,1,7,1,35.5499,43.8888,0.81,2014_q2
17,AUBURN,2,Commercial,Other,0,11,0,,,,2014_q2
18,AVON,1,Noncommercial,Diesel,0,39,9,31.8852,14.3843,19.95,2014_q2
18,AVON,1,Noncommercial,Flexfuel,0,178,69,29.5843,17.6417,115.71,2014_q2
18,AVON,1,Noncommercial,Gasoline,0,3021,1195,27.732,19.8558,1669.02,2014_q2
18,AVON,1,Noncommercial,Gasoline,1,34,12,44.3327,41.7249,12.75,2014_q2
18,AVON,2,Commercial,Diesel,0,89,12,47.9033,15.1393,37.97,2014_q2
18,AVON,2,Commercial,Flexfuel,0,36,13,59.7625,16.8309,46.16,2014_q2
18,AVON,2,Commercial,Gasoline,0,246,82,41.0417,16.9919,198.06,2014_q2
18,AVON,2,Commercial,Gasoline,1,4,2,84.996,49.4163,3.44,2014_q2
18,AVON,2,Commercial,Other,0,11,0,,,,2014_q2
19,AYER,1,Noncommercial,Diesel,0,72,23,44.5459,20.2802,50.52,2014_q2
19,AYER,1,Noncommercial,Elect,0,1,0,,,,2014_q2
19,AYER,1,Noncommercial,Flexfuel,0,274,94,36.8942,17.4344,198.92,2014_q2
19,AYER,1,Noncommercial,Gasoline,0,5449,2055,35.2193,20.9334,3457.42,2014_q2
19,AYER,1,Noncommercial,Gasoline,1,127,48,41.0537,44.6438,44.14,2014_q2
19,AYER,1,Noncommercial,Other,0,1,0,,,,2014_q2
19,AYER,2,Commercial,Diesel,0,32,8,40.5194,13.8056,23.48,2014_q2
19,AYER,2,Commercial,Flexfuel,0,33,15,59.563,15.7574,56.7,2014_q2
19,AYER,2,Commercial,Gasoline,0,193,77,36.0372,17.0708,162.55,2014_q2
19,AYER,2,Commercial,Gasoline,1,1,0,,,,2014_q2
19,AYER,2,Commercial,Other,0,3,0,,,,2014_q2
20,BARNSTABLE,1,Noncommercial,Diesel,0,486,143,30.3433,18.0893,239.87,2014_q2
20,BARNSTABLE,1,Noncommercial,Elect,0,5,0,,,,2014_q2
20,BARNSTABLE,1,Noncommercial,Flexfuel,0,1567,558,31.5387,16.9135,1040.5,2014_q2
20,BARNSTABLE,1,Noncommercial,Gasoline,0,33027,11993,27.1995,19.6125,16632.5,2014_q2
20,BARNSTABLE,1,Noncommercial,Gasoline,1,654,254,37.6769,39.9963,239.27,2014_q2
20,BARNSTABLE,1,Noncommercial,Other,0,4,0,,,,2014_q2
20,BARNSTABLE,2,Commercial,Diesel,0,198,22,27.8087,13.876,44.09,2014_q2
20,BARNSTABLE,2,Commercial,Flexfuel,0,233,67,35.9403,16.1589,149.02,2014_q2
20,BARNSTABLE,2,Commercial,Gasoline,0,1705,618,35.3367,17.2793,1263.83,2014_q2
20,BARNSTABLE,2,Commercial,Gasoline,1,13,1,29.2445,49.5669,0.59,2014_q2
20,BARNSTABLE,2,Commercial,Other,0,7,0,,,,2014_q2
21,BARRE,1,Noncommercial,Diesel,0,123,38,26.3324,15.8578,63.1,2014_q2
21,BARRE,1,Noncommercial,Elect,0,1,0,,,,2014_q2
21,BARRE,1,Noncommercial,Flexfuel,0,211,90,42.0591,18.2013,207.97,2014_q2
21,BARRE,1,Noncommercial,Gasoline,0,3875,1481,37.1325,20.1733,2726.04,2014_q2
21,BARRE,1,Noncommercial,Gasoline,1,60,22,48.6266,34.9375,30.62,2014_q2
21,BARRE,1,Noncommercial,Other,0,2,0,,,,2014_q2
21,BARRE,2,Commercial,Diesel,0,25,4,37.9195,18.0569,8.4,2014_q2
21,BARRE,2,Commercial,Flexfuel,0,44,1,37.737,11.9044,3.17,2014_q2
21,BARRE,2,Commercial,Gasoline,0,77,33,34.6096,17.3548,65.81,2014_q2
22,BECKET,1,Noncommercial,Diesel,0,44,11,37.9454,14.6868,28.42,2014_q2
22,BECKET,1,Noncommercial,Flexfuel,0,72,29,33.1001,16.1791,59.33,2014_q2
22,BECKET,1,Noncommercial,Gasoline,0,1554,583,35.9692,20.0841,1044.11,2014_q2
22,BECKET,1,Noncommercial,Gasoline,1,22,8,33.8693,37.5804,7.21,2014_q2
22,BECKET,1,Noncommercial,Other,0,1,0,,,,2014_q2
22,BECKET,2,Commercial,Diesel,0,2,0,,,,2014_q2
22,BECKET,2,Commercial,Flexfuel,0,2,0,,,,2014_q2
22,BECKET,2,Commercial,Gasoline,0,28,8,27.4592,16.3691,13.42,2014_q2
22,BECKET,2,Commercial,Gasoline,1,1,0,,,,2014_q2
23,BEDFORD,1,Noncommercial,Diesel,0,116,42,33.1288,23.9691,58.05,2014_q2
23,BEDFORD,1,Noncommercial,Elect,0,4,0,31.8831,,,2014_q2
23,BEDFORD,1,Noncommercial,Flexfuel,0,397,123,31.339,17.4594,220.78,2014_q2
23,BEDFORD,1,Noncommercial,Gasoline,0,9630,3774,27.7118,20.8218,5022.82,2014_q2
23,BEDFORD,1,Noncommercial,Gasoline,1,382,159,31.5511,39.0368,128.51,2014_q2
23,BEDFORD,1,Noncommercial,Other,0,1,0,,,,2014_q2
23,BEDFORD,2,Commercial,Diesel,0,50,9,29.3977,13.4715,19.64,2014_q2
23,BEDFORD,2,Commercial,Flexfuel,0,111,21,46.5988,15.4009,63.54,2014_q2
23,BEDFORD,2,Commercial,Gasoline,0,370,153,32.8923,17.0058,295.93,2014_q2
23,BEDFORD,2,Commercial,Gasoline,1,8,2,12.1984,42.0634,0.58,2014_q2
24,BELCHERTOWN,1,Noncommercial,Diesel,0,285,99,29.3548,17.971,161.712,2014_q2
24,BELCHERTOWN,1,Noncommercial,Flexfuel,0,460,180,38.8934,17.1056,409.27,2014_q2
24,BELCHERTOWN,1,Noncommercial,Gasoline,0,11007,4371,32.9849,20.2981,7102.99,2014_q2
24,BELCHERTOWN,1,Noncommercial,Gasoline,1,219,78,42.7171,40.4804,82.31,2014_q2
24,BELCHERTOWN,2,Commercial,Diesel,0,33,13,40.9727,13.5706,39.25,2014_q2
24,BELCHERTOWN,2,Commercial,Flexfuel,0,59,10,54.4627,16.3798,33.25,2014_q2
24,BELCHERTOWN,2,Commercial,Gasoline,0,228,85,43.8517,16.5507,225.21,2014_q2
24,BELCHERTOWN,2,Commercial,Gasoline,1,2,0,,,,2014_q2
24,BELCHERTOWN,2,Commercial,Other,0,3,0,,,,2014_q2
25,BELLINGHAM,1,Noncommercial,Diesel,0,148,43,30.2026,16.2522,79.91,2014_q2
25,BELLINGHAM,1,Noncommercial,Elect,0,3,0,,,,2014_q2
25,BELLINGHAM,1,Noncommercial,Flexfuel,0,687,220,33.9085,17.6098,423.62,2014_q2
25,BELLINGHAM,1,Noncommercial,Gasoline,0,11920,4545,32.8188,20.5404,7261.84,2014_q2
25,BELLINGHAM,1,Noncommercial,Gasoline,1,166,69,40.5593,40.1692,69.67,2014_q2
25,BELLINGHAM,2,Commercial,Diesel,0,62,6,58.1571,14.7109,23.72,2014_q2
25,BELLINGHAM,2,Commercial,Flexfuel,0,49,18,46.2511,15.3234,54.33,2014_q2
25,BELLINGHAM,2,Commercial,Gasoline,0,315,101,41.9725,16.0031,264.9,2014_q2
25,BELLINGHAM,2,Commercial,Gasoline,1,2,0,,,,2014_q2
25,BELLINGHAM,2,Commercial,Other,0,4,0,,,,2014_q2
26,BELMONT,1,Noncommercial,Diesel,0,149,56,31.6664,25.9219,68.41,2014_q2
26,BELMONT,1,Noncommercial,Elect,0,8,0,18.6023,,,2014_q2
26,BELMONT,1,Noncommercial,Flexfuel,0,317,113,27.2296,18.054,170.43,2014_q2
26,BELMONT,1,Noncommercial,Gasoline,0,14069,5624,23.2962,21.1108,6206.19,2014_q2
26,BELMONT,1,Noncommercial,Gasoline,1,668,273,26.9268,39.28,187.144,2014_q2
26,BELMONT,2,Commercial,Diesel,0,26,2,11.9128,15.7785,1.51,2014_q2
26,BELMONT,2,Commercial,Flexfuel,0,65,32,33.4771,15.9439,67.19,2014_q2
26,BELMONT,2,Commercial,Gasoline,0,488,193,30.2903,17.755,329.26,2014_q2
26,BELMONT,2,Commercial,Gasoline,1,10,4,51.1788,38.6985,5.29,2014_q2
26,BELMONT,2,Commercial,Other,0,1,0,,,,2014_q2
